Company,Company Description,Website Link,Why It's Included
Pentagram,"The world's largest independent design consultancy, known for iconic brand identities and partner-led creative work.",https://www.pentagram.com,Sets the standard for presenting case studies as editorial storytelling instead of portfolio tiles. Lets the work carry authority instead of leaning on credentials-heavy copy.
Clay,Digital product design and branding studio working with venture-backed startups and enterprises.,https://clay.global,"Case studies structured like consulting engagements: problem, constraint, decision, result, using real artifacts instead of polished mockups."
Instrument,"Full-service digital agency working with major brands on web, product, and content experiences.",https://www.instrument.com,"The site itself functions as proof of capability. Strong model for information architecture: surfacing services, work, and culture without feeling like a maze."
Dept,"Global digital consultancy delivering strategy, design, and technology at enterprise scale.",https://www.deptagency.com,"A larger, more 'grown-up' consultancy that still achieves distinctive art direction at scale, closer to Junction's actual size and B2B positioning than boutique studios."
Fantasy,Strategy and design consultancy that builds digital products and brand experiences for major companies.,https://fantasy.co,"Treats client work like award-caliber case studies, cinematic in execution but always tied back to business outcomes, a useful balance of bold and credibility-building."
Wealthsimple,Online banking and finance software,https://www.wealthsimple.com/,Makes a boring topic interesting. Communicates the value of the service clearly and beautifully.
Brand New School,Creative agency,https://www.brandnewschool.com/,"Big bold and declarative. Fun design, makes it easy to consume and learn more about what they do."
Check,Design Technology,https://wearecheck.co/,"Clear call to action, shows and tells what the products are, educates the visitor on the different services quickly."
Andrea's Suggestions,,,
Bielke&Yang,Design agency,https://bielkeyang.com/,"Use of negative space, clean layout and clear distribution of content (case studies, examples, videos, etc)"
Love and Money,"Branding, product desing",https://loveandmoney.com/,"Use of video, big bold statement, size relationship between body and titles. "
La rue Michel,"Branding, design ",https://www.laruemichel.re/,"Easy navigation, straight to the point, team section short but efficient, client logo banner/wall is elegant and looks polished"
Raus,Hotel,https://www.raus.life/,Only for the lading page: use of images in shapes and bold text.
